"id","log_Mtb_CFU","dose","BCG_dose_log10","protect_status","Marginal/CD4/IFNg/FoP_0","Marginal/CD4/IFNg/FoP_2","Marginal/CD4/IFNg/FoP_4","Marginal/CD4/IFNg/FoP_8","Marginal/CD4/IFNg/FoP_12","Marginal/CD4/IL2/FoP_0","Marginal/CD4/IL2/FoP_2","Marginal/CD4/IL2/FoP_4","Marginal/CD4/IL2/FoP_8","Marginal/CD4/IL2/FoP_12","Marginal/CD4/IL17/FoP_0","Marginal/CD4/IL17/FoP_2","Marginal/CD4/IL17/FoP_4","Marginal/CD4/IL17/FoP_8","Marginal/CD4/IL17/FoP_12","Marginal/CD4/IL21/FoP_0","Marginal/CD4/IL21/FoP_2","Marginal/CD4/IL21/FoP_4","Marginal/CD4/IL21/FoP_8","Marginal/CD4/IL21/FoP_12","Marginal/CD4/TNF/FoP_0","Marginal/CD4/TNF/FoP_2","Marginal/CD4/TNF/FoP_4","Marginal/CD4/TNF/FoP_8","Marginal/CD4/TNF/FoP_12","Any/CD4/g2T17/FoP_0","Any/CD4/g2T17/FoP_2","Any/CD4/g2T17/FoP_4","Any/CD4/g2T17/FoP_8","Any/CD4/g2T17/FoP_12","Marginal/CD8/IFNg/FoP_0","Marginal/CD8/IFNg/FoP_2","Marginal/CD8/IFNg/FoP_4","Marginal/CD8/IFNg/FoP_8","Marginal/CD8/IFNg/FoP_12","Marginal/CD8/IL2/FoP_0","Marginal/CD8/IL2/FoP_2","Marginal/CD8/IL2/FoP_4","Marginal/CD8/IL2/FoP_8","Marginal/CD8/IL2/FoP_12","Marginal/CD8/IL21/FoP_0","Marginal/CD8/IL21/FoP_2","Marginal/CD8/IL21/FoP_4","Marginal/CD8/IL21/FoP_8","Marginal/CD8/IL21/FoP_12","Marginal/CD8/TNF/FoP_0","Marginal/CD8/TNF/FoP_2","Marginal/CD8/TNF/FoP_4","Marginal/CD8/TNF/FoP_8","Marginal/CD8/TNF/FoP_12","Any/CD8/g2T17/FoP_0","Any/CD8/g2T17/FoP_2","Any/CD8/g2T17/FoP_4","Any/CD8/g2T17/FoP_8","Any/CD8/g2T17/FoP_12","log_B_0","log_B_2","log_B_4","log_B_8","log_B_12","log_CD4_0","log_CD4_2","log_CD4_4","log_CD4_8","log_CD4_12","log_CD8_0","log_CD8_2","log_CD8_4","log_CD8_8","log_CD8_12","log_Granulocytes_0","log_Granulocytes_2","log_Granulocytes_4","log_Granulocytes_8","log_Granulocytes_12","log_iNKT_0","log_iNKT_2","log_iNKT_4","log_iNKT_8","log_iNKT_12","log_Mac_0","log_Mac_2","log_Mac_4","log_Mac_8","log_Mac_12","log_MAIT_0","log_MAIT_2","log_MAIT_4","log_MAIT_8","log_MAIT_12","log_mDC_0","log_mDC_2","log_mDC_4","log_mDC_8","log_mDC_12","log_NK_0","log_NK_2","log_NK_4","log_NK_8","log_NK_12","log_pDC_0","log_pDC_2","log_pDC_4","log_pDC_8","log_pDC_12","log_Vg9_0","log_Vg9_2","log_Vg9_4","log_Vg9_8","log_Vg9_12","log_BAL.IgG_4","log_BAL.IgG_12","log_BAL.IgA_4","log_BAL.IgA_12","log_Plasma.IgG_4","log_Plasma.IgG_12","log_Plasma.IgG_24","log_Plasma.IgG_36","log_Plasma.IgA_4","log_Plasma.IgA_12","log_Plasma.IgA_24","log_Plasma.IgA_36"
"13N022",0,"high",6.39,"protected",0.193,10.7,17.1,29.6,48.3,0.0149,0.352,0.972,7.12,9.86,0.0743,0.775,0.626,1.35,1.98,0.0862,1.78,NA,9.2,13.5,0.155,8.47,16.2,40.2,54.8,0.389,13.5,21,42.3,59.3,1.52,1.1,2.63,2.59,3.19,0.00822,0.0138,0.0534,0.426,0.292,0.14,0.108,NA,0.247,0.183,0.888,1.71,2.28,4.81,4.62,2.39,2.39,3.55,5.14,5.89,5.049473871,5.202218502,5.674568146,4.797959644,4.52728181,5.44233864,5.808852822,6.350674542,6.315781691,6.028246224,5.551104621,6.183412497,6.509471487,6.095622944,5.984977576,NA,NA,NA,NA,NA,3.938369598,4.216719967,4.190740583,3.659221915,2.892228211,6.676703758,6.838754732,6.788225024,6.614264393,6.576571799,4.537669269,6.171726746,6.49287223,5.816785319,5.579739022,5.09213792,5.072841547,5.29212532,5.091389061,5.377089414,4.646608571,5.121119746,NA,5.302895621,4.997215954,3.753530971,3.873117069,4.492886051,4.526843077,3.809573181,4.32454172,5.250910137,5.781023277,5.116212449,4.909753877,2.373757685,0.301029996,2.579417721,0.301029996,4.108621167,4.38474756,4.358133092,3.759331608,3.297878641,3.680143257,3.348902337,3.034447964
"13N023",0,"high",6.39,"protected",0.604,18.6,30,38.9,43.9,0.0315,0.57,4.19,11.6,5.26,0.126,0.996,2.6,5.5,3.26,0.194,1.24,NA,20.4,14,0.326,14,38,46.7,47.7,0.867,21.7,40.7,49.4,54.3,0.783,1.42,3,5.73,6.43,0.0183,0.0247,0.328,0.816,0.402,0.107,0.274,NA,0.713,0.4,0.226,2.2,3.26,7.42,6.48,1.05,2.82,3.97,8.15,8.06,4.798609216,4.738891496,5.407324608,5.29654673,5.052220538,5.311586467,6.048209056,6.543385169,7.020858323,6.945508024,5.518870441,6.208360994,6.531236283,6.73715295,6.740804734,NA,NA,NA,NA,NA,3.239074138,4.286209386,4.128683535,3.882296801,3.396778021,6.854991928,6.885694786,6.534305514,6.834547921,6.71926506,3.933451855,6.216403709,6.390617391,6.079796423,5.838648262,3.701213843,3.602331341,4.390634881,3.791866015,5.901044537,4.410355383,4.962885257,NA,5.358203341,5.325599805,4.180469962,3.815531262,4.981904642,4.513696925,4.699187097,4.596146075,5.940905283,6.700080464,6.383025201,6.296718048,1.659250469,1.25066392,2.60054819,1.60129931,2.142045148,1.902492421,1.825555932,1.525692525,3.089587219,2.295149097,2.110993517,1.793441133
"13N025",1.61,"high",7.4,"protected",0.067,27.5,38.3,47.7,20.1,0.0515,7.82,17,27.8,2.05,0.0412,4.23,4.7,5.4,0.798,0.237,14.2,NA,31.9,4.23,0.247,32.8,52.3,61.1,21.4,0.325,36.7,53.4,62.9,26.7,0.589,2.02,4.52,8.73,11.7,0.0137,0.106,1.15,2.34,0.458,0.137,0.14,NA,1.91,0.56,0.267,5.85,5.83,10.5,6.87,0.946,7.05,6.63,12.3,13.4,4.234572959,5.011160059,5.210246265,5.255086684,4.535559933,5.330999878,5.791368492,6.524266399,7.008574667,6.174931884,5.091628274,6.25071293,6.521974603,6.91044302,6.134814689,NA,NA,NA,NA,NA,2.668288982,4.637819828,3.978755542,4.006987738,2.0295461,6.907475909,6.497979675,6.50078531,6.988603588,6.661528835,3.866629913,5.967744955,5.922206797,6.281901316,5.171729378,4.288521972,4.606198579,5.009693047,5.737400195,5.606059825,3.808799539,5.42878413,NA,5.183039108,4.739501143,3.72009643,4.119816546,4.577962605,4.474172541,4.050031562,4.159513053,6.319356149,6.505584191,6.535339826,5.594062007,1.389697548,0.301029996,1.910571049,0.927370363,1.541704023,1.486288761,1.363047595,1.252610341,3.190440959,1.979502849,1.811642022,1.594944737
"13N026",0,"low",5.66,"protected",0.161,16.9,27.1,44.8,39.2,0.0202,0.358,4.27,13.2,4.51,0.0161,1.28,1.9,2.27,1.08,0.25,3.01,NA,19,11.9,0.165,8.34,26.3,48.8,37.1,0.307,18.6,31.6,52.4,44.7,1.4,6.17,3.22,6.64,5.89,0.0229,0.0184,0.238,1.24,0.334,0.149,0.0956,NA,0.612,0.241,0.366,3.54,3.54,6.93,3.13,1.76,7.84,5.11,8.73,6.53,4.121040876,4.058198188,5.251737963,4.97620779,4.917594775,5.390283176,5.400228779,6.074268109,6.559834955,6.25071293,5.115407461,5.419379059,5.854482761,6.247089302,6.238648426,NA,NA,NA,NA,NA,2.868987507,3.407458891,4.070148736,3.666312016,2.975560469,6.845913809,6.934523751,6.570274458,6.726466473,6.509605839,4.199752436,5.136692036,5.935603485,5.631241795,5.319358023,5.190337302,5.152719367,5.454480509,5.429915312,5.761221724,4.610039147,4.50421252,NA,5.046218033,4.924584219,4.206663997,3.590440557,4.558240432,4.26700737,4.371935584,4.31529425,5.025678543,5.979421346,5.568015055,5.353533483,2.842059784,3.15448788,1.788592556,2.246818521,3.29609453,3.63269108,3.473949485,2.591309525,3.499157635,2.929495559,2.706786035,2.348752559
"A11V075",0,"high",7.4,"protected",1.63,38.5,49.2,55.6,54.5,0.202,1.88,9.7,16.7,4.18,0.411,1.68,1.63,2.23,1.12,0.354,8.23,NA,28.1,20.9,1.16,38.8,55.2,70.9,44.3,2.3,45,58.6,71.9,58.6,1.65,3.62,1.89,2.39,13.3,0.0364,0.0211,0.385,0.507,0.344,0.1,0.0974,NA,0.436,0.55,1.49,15.2,2.08,3.36,5.34,3.45,16.4,2.71,3.72,14.8,4.637574779,5.315124011,5.54475121,4.816572696,4.927744947,5.073135235,6.277856886,7.080157347,6.711891634,6.844402675,4.957588134,6.727785256,6.751510127,6.262000186,6.506017835,NA,NA,NA,NA,NA,3.205840178,5.143617395,4.844017164,4.029667803,3.355374884,6.614649534,6.680788702,6.048131316,6.068779734,6.686421839,3.694429691,6.36869978,6.01951134,5.004325674,4.643146588,4.856009504,5.338119685,5.299324216,5.037749111,5.698275447,4.162892841,5.652595377,NA,5.008647005,5.090162787,3.4852244,3.914924648,4.241621181,3.909630901,4.400589791,4.285647309,6.91487187,6.726686548,5.73671593,5.77326044,2.169468698,1.238798563,2.658307189,1.482873584,1.846213364,1.960756091,2.446925311,2.17914948,3.450529307,2.769000479,2.67171884,2.487039339
"A12V044",3.93,"high",6.39,"not_protected",0.504,14.5,19.3,30.7,31.4,0.156,0.814,2.62,7.48,5.52,0.137,1.35,1.48,1.34,0.586,0.192,3.4,NA,18.2,15.8,0.431,15.4,23.5,43.2,45.4,0.843,17.9,25.1,44.2,46.9,0.533,1.74,1.16,6.73,6.04,0.0116,0.0937,0.217,1.22,1.21,0.0695,0.384,NA,1.15,1.15,0.765,4.33,1.77,10.3,7.46,1.27,4.92,2.01,10.8,8.13,3.971401108,5.010096333,4.612243301,4.681855149,4.592210078,5.06577012,5.402166773,5.412880359,6.203403077,6.333155161,5.085365512,5.690639897,5.654985636,6.031921638,6.200741364,NA,NA,NA,NA,NA,2.838943492,3.175703116,2.62797999,2.999717617,2.539640566,6.098571395,6.021053199,6.193197253,6.058597203,6.255453665,3.829258733,5.523149227,5.5811996,5.209975873,4.990143423,1.700919945,2.996428483,3.094666744,2.668011106,4.895676639,3.79325242,4.638409379,NA,4.670261628,4.721208614,2.897841437,3.220672827,3.436113329,3.708803183,3.973543469,3.749859941,5.066001481,5.056981037,4.866511814,4.737868217,1.075181855,1.520352504,1.08350262,1.520352504,2.652449416,2.561065589,2.42375362,2.344588743,2.847609671,2.792685789,2.493304662,2.564961805
"A12V053",0,"high",7.4,"protected",7.92,42,45.3,51.1,41.5,2.51,0.972,4.44,24.6,9.57,0.959,4.57,5.09,9.39,3.95,2.85,12.5,NA,26.5,16.2,8.52,41.1,39.5,58.9,51.5,8.73,48.4,49.9,59.8,53.9,0.935,4.29,14.8,25.8,22.7,0.0404,0.0144,0.726,8.02,2.9,0.114,0.133,NA,7.66,3.55,1.36,3.58,10.2,27.4,24.4,1.93,6.6,16.2,29,26.9,4.487604956,5.589392141,5.48922842,5.09608929,4.749403899,5.266478652,6.661339435,6.772952223,6.854913083,6.642701982,5.213488537,6.782114219,6.575141756,6.545109226,6.327706435,NA,NA,NA,NA,NA,3.300552009,NA,4.35746792,3.877192753,3.765303385,6.367475382,6.597146598,6.758594075,6.454250308,6.688322006,3.562459411,5.922466465,5.805263597,5.612689573,5.246820981,2.814966384,4.637499736,3.674365046,2.658640906,2.34364488,4.2241548,5.84509866,5.726410132,5.510532946,5.147339268,3.643472417,4.516284111,4.612476564,4.324755599,3.981279367,4.446478139,6.720159386,6.546370022,6.286277011,5.953919564,4.429154512,2.392292361,3.863885888,1.651084089,4.181496299,4.106000065,3.957574726,4.04812704,3.501418058,3.28266289,3.268832951,3.272669924
"A12V057",0,"low",5.66,"protected",1.2,24.1,28.4,37.8,34.3,0.146,2.8,0.936,7.59,5.41,0.141,3.57,1.1,2.08,1.18,0.606,9.98,NA,17.4,19.3,1.18,27.9,24.4,43.6,39,1.67,33.2,33,46.6,43.1,0.296,0.509,6.63,3.79,3.63,0.022,0.0816,0.0638,0.728,0.426,0.0941,0.185,NA,0.769,0.66,0.454,0.778,4.21,4.83,4.58,0.773,0.942,8.99,5.59,5.23,4.367121003,4.978276407,5.104599767,5.089014425,4.613065527,5.355614326,5.700444967,6.080172116,6.490183439,6.271023573,5.78822566,5.814581182,6.227835563,6.345158196,6.169792248,NA,NA,NA,NA,NA,3.448700138,NA,3.510737987,3.269793044,3.402006751,6.588043124,5.705436902,6.423897809,6.627816408,6.521974603,4.545843776,5.260360026,5.971437751,5.391430908,4.98270983,2.47111561,3.552424846,4.419006861,2.684019058,3.15349779,4.377207868,4.49583562,4.666712621,4.663823377,4.428086176,3.809276826,3.566319622,4.104630487,4.281646858,3.581735813,4.601479821,5.323336681,5.636873876,5.318670505,5.108690153,1.356408327,0.301029996,0.962842681,0.301029996,2.619302076,2.003503615,1.902166129,1.748808005,2.436480695,1.781683585,1.58759873,1.482015577
"A12V058",3.47,"high",6.84,"not_protected",0.844,16.2,32.9,45.3,38.4,0.157,1.18,7.78,23,2.62,0.458,1.48,1.26,1.52,0.309,0.748,4.88,NA,28.6,7.33,1.33,17.1,36.1,55,33.4,1.87,20.6,38.5,56.1,43.1,3.05,13.3,5.72,8.88,10.6,0.111,0.0547,0.327,2.88,0.413,0.265,0.131,NA,2.05,0.511,4.94,13.3,3.13,13.2,6.43,6.36,20.6,6.83,15,11.7,4.613947477,5.9623035,5.938590267,5.294265567,5.075565209,4.976744196,6.115441087,6.992385644,6.988460895,6.545999579,4.958812254,6.578387154,6.834865643,6.680172373,6.496874459,NA,NA,NA,NA,NA,2.955201723,4.553336782,4.077651285,4.018625614,2.445977629,6.204019812,6.406335929,6.25601042,6.713053593,6.692459229,4.085051419,6.498393407,6.523616549,5.922513188,5.37106971,2.702154706,3.915478983,4.200555034,3.569748342,5.788706308,4.06081112,5.384695625,NA,5.110091164,4.903572871,3.400434368,4.10533984,4.689956709,4.560098007,4.546011809,4.175363931,6.406335929,6.660789707,6.199129881,5.857357226,2.932057536,1.748420623,2.281442457,1.450095076,3.013885854,2.835081498,2.645245371,2.535066151,3.044010288,2.806864805,2.72824824,2.553300342
"A12V062",0,"low",4.59,"protected",7.56,33.9,32.8,28.4,26,0.218,3.76,0.689,10.1,2.13,0.182,1.53,0.444,0.77,0.28,2.31,7.43,NA,8.22,3.12,4.95,36,24.6,33.9,24.6,8.15,40.4,35.4,35,29.8,1.13,1.3,3.18,2.2,2.2,0.0107,0.121,0.0404,0.735,0.146,0.356,0.186,NA,0.346,0.135,0.299,1.53,1.38,3.27,2.12,1.43,2.14,3.74,3.51,2.69,4.211296787,4.779943355,4.809539514,3.997054201,4.045409047,5.125432466,5.892499755,6.006962523,5.590437211,5.481099931,5.435004577,5.958287165,5.895047211,5.512301419,5.492999116,NA,NA,NA,NA,NA,3.064098424,NA,3.073425057,2.518806003,2.470336975,6.850626695,6.730940546,6.830126608,6.802762851,6.83059194,4.067063413,4.897717239,4.97455314,4.459069663,4.064712501,3.398412264,3.261598276,3.826450597,2.939029772,3.397726283,5.119641831,4.664578989,4.632669832,4.075086877,4.021747319,3.783480508,3.989930124,3.791255435,3.277251548,3.137300296,4.372981926,5.190662197,5.367655909,4.749338932,4.595979849,0.301029996,0.301029996,0.301029996,0.301029996,3.240798771,2.624168607,2.341117839,2.142076461,2.801863147,2.447220069,2.233199242,1.979275148
"A12V066",0,"high",6.39,"protected",0.918,9.77,24.6,38.6,23.5,0.197,0.622,1.14,22.5,6.41,0.35,1.1,2.25,2.73,0.974,0.459,3.87,NA,20.5,9.99,1.18,9.09,25.6,49.7,33.7,1.68,13.3,31.7,50.4,34.8,1.42,0.474,2.8,3.45,2.74,0.0813,0.0517,0.0821,1.11,0.421,0.122,0.0372,NA,0.602,0.268,1.42,1.04,4.51,4.62,3.97,2.66,1.28,5.93,4.93,4.32,3.659345636,4.753710188,5.05000834,4.479105782,4.640733791,4.779156202,5.632907551,5.795239569,6.376869004,6.414900013,4.717529043,5.860218784,6.086470526,6.343912713,6.389194623,NA,NA,NA,NA,NA,2.256986992,NA,3.247983081,3.062642142,3.248924237,6.306232179,6.4577307,6.494209017,6.41214475,6.439168579,3.195567581,5.288895043,5.415712689,5.140875561,5.118836573,2.846955325,4.246444414,3.992509335,3.023005397,3.39113279,3.921936058,5.199340974,5.027231333,4.743658685,4.887005933,3.058904093,3.073659708,3.861756579,3.404546372,3.651568739,4.087753032,5.91137124,6.100804967,5.891314957,5.895886982,3.131073048,1.744762237,2.498351913,1.535547279,4.714677978,3.851485224,3.226607637,3.639013089,4.153018385,4.239295975,3.76423817,2.697525748
