"SampleID","score","library name","title","organism","tissue","molecule","single or paired-end","instrument model","id","Pitt_id","BCG_dose_log10","dose","TimeafterBCG","total_Mtb_CFU","log_Mtb_CFU","grans_nx","log_grans_nx","protect_status","processed data file","raw file","raw file 2","moduleID","norm_score"
"13N022_d2Pre",8.92336844548914,"13N022_d2Pre","13N022 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N022",3218,6.39,"high","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N022_d2Pre_read1.fastq.gz","13N022_d2Pre_read2.fastq.gz","M1",1.33626258783405
"13N022_wk12Pre",7.82438874171692,"13N022_wk12Pre","13N022 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N022",3218,6.39,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N022_wk12Pre_read1.fastq.gz","13N022_wk12Pre_read2.fastq.gz","M1",0.237282884061834
"13N022_wk2Pre",8.030578872949,"13N022_wk2Pre","13N022 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N022",3218,6.39,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N022_wk2Pre_read1.fastq.gz","13N022_wk2Pre_read2.fastq.gz","M1",0.443473015293914
"13N022_wk4Pre",7.86718617116924,"13N022_wk4Pre","13N022 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N022",3218,6.39,"high","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N022_wk4Pre_read1.fastq.gz","13N022_wk4Pre_read2.fastq.gz","M1",0.280080313514158
"13N022_wkm4Pre",7.58710585765508,"13N022_wkm4Pre","13N022 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N022",3218,6.39,"high","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N022_wkm4Pre_read1.fastq.gz","13N022_wkm4Pre_read2.fastq.gz","M1",0
"13N023_d2Pre",8.99916441839146,"13N023_d2Pre","13N023 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N023",4218,6.39,"high","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N023_d2Pre_read1.fastq.gz","13N023_d2Pre_read2.fastq.gz","M1",1.43155347354625
"13N023_wk12Pre",7.87844222649539,"13N023_wk12Pre","13N023 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N023",4218,6.39,"high","wk12",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N023_wk12Pre_read1.fastq.gz","13N023_wk12Pre_read2.fastq.gz","M1",0.310831281650183
"13N023_wk2Pre",8.13040306143548,"13N023_wk2Pre","13N023 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N023",4218,6.39,"high","wk2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N023_wk2Pre_read1.fastq.gz","13N023_wk2Pre_read2.fastq.gz","M1",0.56279211659027
"13N023_wk4Pre",8.01531715730248,"13N023_wk4Pre","13N023 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N023",4218,6.39,"high","wk4",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N023_wk4Pre_read1.fastq.gz","13N023_wk4Pre_read2.fastq.gz","M1",0.44770621245727
"13N023_wkm4Pre",7.56761094484521,"13N023_wkm4Pre","13N023 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N023",4218,6.39,"high","pre",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N023_wkm4Pre_read1.fastq.gz","13N023_wkm4Pre_read2.fastq.gz","M1",0
"13N025_d2Pre",8.95025457374532,"13N025_d2Pre","13N025 high dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N025",2818,7.4,"high","d2",40,1.61,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N025_d2Pre_read1.fastq.gz","13N025_d2Pre_read2.fastq.gz","M1",1.15026988368061
"13N025_wk12Pre",8.01743759056776,"13N025_wk12Pre","13N025 high dose IV BCG wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N025",2818,7.4,"high","wk12",40,1.61,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N025_wk12Pre_read1.fastq.gz","13N025_wk12Pre_read2.fastq.gz","M1",0.217452900503059
"13N025_wk2Pre",8.21052249619214,"13N025_wk2Pre","13N025 high dose IV BCG wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N025",2818,7.4,"high","wk2",40,1.61,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N025_wk2Pre_read1.fastq.gz","13N025_wk2Pre_read2.fastq.gz","M1",0.410537806127429
"13N025_wk4Pre",8.25488910098334,"13N025_wk4Pre","13N025 high dose IV BCG wk4","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N025",2818,7.4,"high","wk4",40,1.61,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N025_wk4Pre_read1.fastq.gz","13N025_wk4Pre_read2.fastq.gz","M1",0.454904410918632
"13N025_wkm4Pre",7.79998469006471,"13N025_wkm4Pre","13N025 high dose IV BCG pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N025",2818,7.4,"high","pre",40,1.61,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N025_wkm4Pre_read1.fastq.gz","13N025_wkm4Pre_read2.fastq.gz","M1",0
"13N026_d2Pre",8.5381245767844,"13N026_d2Pre","13N026 low dose IV BCG d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","13N026",3318,5.66,"low","d2",0,0,"0",0,"protected","ivbcg_dosecohort_processed.txt","13N026_d2Pre_read1.fastq.gz","13N026_d2Pre_read2.fastq.gz","M1",0.745753938703606
