"SampleID","score","library name","title","organism","tissue","molecule","single or paired-end","instrument model","id","Pitt_id","vax_group","vax_dose","dose","TimeafterBCG","total_Mtb_CFU","log_Mtb_CFU","grans_nx","protect_status","processed data file","raw file","raw file 2","moduleID","norm_score"
"0NR_65",6.6795165948765,"0NR_65","0NR IV pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0NR",13417,"IV","3.70E+07","high","pre",30,1.491,1,"protected","bcg_routecohort_processed.txt","0NR_65_read1.fastq.gz","0NR_65_read2.fastq.gz","M1",0
"0NR_66",7.69256558093684,"0NR_66","0NR IV d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0NR",13417,"IV","3.70E+07","high","d2",30,1.491,1,"protected","bcg_routecohort_processed.txt","0NR_66_read1.fastq.gz","0NR_66_read2.fastq.gz","M1",1.01304898606034
"0NR_67",7.26411917716176,"0NR_67","0NR IV wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0NR",13417,"IV","3.70E+07","high","wk2",30,1.491,1,"protected","bcg_routecohort_processed.txt","0NR_67_read1.fastq.gz","0NR_67_read2.fastq.gz","M1",0.584602582285254
"0NR_68",6.94062363543245,"0NR_68","0NR IV wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0NR",13417,"IV","3.70E+07","high","wk12",30,1.491,1,"protected","bcg_routecohort_processed.txt","0NR_68_read1.fastq.gz","0NR_68_read2.fastq.gz","M1",0.261107040555952
"0TL_113",6.76778571867788,"0TL_113","0TL HD-ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0TL",18117,"HD-ID","2.90E+07","high","pre",2120,3.327,6,"not_protected","bcg_routecohort_processed.txt","0TL_113_read1.fastq.gz","0TL_113_read2.fastq.gz","M1",0
"0TL_114",7.29612562259037,"0TL_114","0TL HD-ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0TL",18117,"HD-ID","2.90E+07","high","d2",2120,3.327,6,"not_protected","bcg_routecohort_processed.txt","0TL_114_read1.fastq.gz","0TL_114_read2.fastq.gz","M1",0.528339903912492
"0TL_115",6.85423084916321,"0TL_115","0TL HD-ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0TL",18117,"HD-ID","2.90E+07","high","wk2",2120,3.327,6,"not_protected","bcg_routecohort_processed.txt","0TL_115_read1.fastq.gz","0TL_115_read2.fastq.gz","M1",0.0864451304853313
"0TL_116",5.91136414671031,"0TL_116","0TL HD-ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","0TL",18117,"HD-ID","2.90E+07","high","wk12",2120,3.327,6,"not_protected","bcg_routecohort_processed.txt","0TL_116_read1.fastq.gz","0TL_116_read2.fastq.gz","M1",-0.856421571967568
"CZRJR_57",6.7922605746217,"CZRJR_57","CZRJR AE pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","CZRJR",13117,"AE","3.70E+07","high","pre",765932,5.884,26,"not_protected","bcg_routecohort_processed.txt","CZRJR_57_read1.fastq.gz","CZRJR_57_read2.fastq.gz","M1",0
"CZRJR_58",7.00644857087509,"CZRJR_58","CZRJR AE d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","CZRJR",13117,"AE","3.70E+07","high","d2",765932,5.884,26,"not_protected","bcg_routecohort_processed.txt","CZRJR_58_read1.fastq.gz","CZRJR_58_read2.fastq.gz","M1",0.214187996253386
"CZRJR_59",6.72755715689251,"CZRJR_59","CZRJR AE wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","CZRJR",13117,"AE","3.70E+07","high","wk2",765932,5.884,26,"not_protected","bcg_routecohort_processed.txt","CZRJR_59_read1.fastq.gz","CZRJR_59_read2.fastq.gz","M1",-0.0647034177291879
"CZRJR_60",6.83389204335407,"CZRJR_60","CZRJR AE wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","CZRJR",13117,"AE","3.70E+07","high","wk12",765932,5.884,26,"not_protected","bcg_routecohort_processed.txt","CZRJR_60_read1.fastq.gz","CZRJR_60_read2.fastq.gz","M1",0.0416314687323673
"DF2A_13",6.74759721290149,"DF2A_13","DF2A IV pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF2A",36216,"IV","5.20E+07","high","pre",0,0,0,"protected","bcg_routecohort_processed.txt","DF2A_13_read1.fastq.gz","DF2A_13_read2.fastq.gz","M1",0
"DF2A_14",7.5661547169444,"DF2A_14","DF2A IV d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF2A",36216,"IV","5.20E+07","high","d2",0,0,0,"protected","bcg_routecohort_processed.txt","DF2A_14_read1.fastq.gz","DF2A_14_read2.fastq.gz","M1",0.818557504042913
"DF2A_15",7.56179608222295,"DF2A_15","DF2A IV wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF2A",36216,"IV","5.20E+07","high","wk2",0,0,0,"protected","bcg_routecohort_processed.txt","DF2A_15_read1.fastq.gz","DF2A_15_read2.fastq.gz","M1",0.814198869321459
"DF2A_16",7.31053114504201,"DF2A_16","DF2A IV wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF2A",36216,"IV","5.20E+07","high","wk12",0,0,0,"protected","bcg_routecohort_processed.txt","DF2A_16_read1.fastq.gz","DF2A_16_read2.fastq.gz","M1",0.562933932140522
"DF7X_53",6.901785580983,"DF7X_53","DF7X ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF7X",12617,"ID","3.10E+05","low","pre",860350,5.935,60,"not_protected","bcg_routecohort_processed.txt","DF7X_53_read1.fastq.gz","DF7X_53_read2.fastq.gz","M1",0
"DF7X_54",6.94347581412328,"DF7X_54","DF7X ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF7X",12617,"ID","3.10E+05","low","d2",860350,5.935,60,"not_protected","bcg_routecohort_processed.txt","DF7X_54_read1.fastq.gz","DF7X_54_read2.fastq.gz","M1",0.0416902331402769
"DF7X_55",6.84849588055803,"DF7X_55","DF7X ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF7X",12617,"ID","3.10E+05","low","wk2",860350,5.935,60,"not_protected","bcg_routecohort_processed.txt","DF7X_55_read1.fastq.gz","DF7X_55_read2.fastq.gz","M1",-0.0532897004249726
"DF7X_56",6.64226581434867,"DF7X_56","DF7X ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF7X",12617,"ID","3.10E+05","low","wk12",860350,5.935,60,"not_protected","bcg_routecohort_processed.txt","DF7X_56_read1.fastq.gz","DF7X_56_read2.fastq.gz","M1",-0.259519766634334
"DF8J_109",6.78903402133887,"DF8J_109","DF8J HD-ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF8J",13717,"HD-ID","2.90E+07","high","pre",39765,4.6,6,"not_protected","bcg_routecohort_processed.txt","DF8J_109_read1.fastq.gz","DF8J_109_read2.fastq.gz","M1",0
"DF8J_110",7.39259586865421,"DF8J_110","DF8J HD-ID d2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF8J",13717,"HD-ID","2.90E+07","high","d2",39765,4.6,6,"not_protected","bcg_routecohort_processed.txt","DF8J_110_read1.fastq.gz","DF8J_110_read2.fastq.gz","M1",0.603561847315344
"DF8J_111",6.92553193123149,"DF8J_111","DF8J HD-ID wk2","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF8J",13717,"HD-ID","2.90E+07","high","wk2",39765,4.6,6,"not_protected","bcg_routecohort_processed.txt","DF8J_111_read1.fastq.gz","DF8J_111_read2.fastq.gz","M1",0.136497909892617
"DF8J_112",6.71879531787038,"DF8J_112","DF8J HD-ID wk12","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF8J",13717,"HD-ID","2.90E+07","high","wk12",39765,4.6,6,"not_protected","bcg_routecohort_processed.txt","DF8J_112_read1.fastq.gz","DF8J_112_read2.fastq.gz","M1",-0.0702387034684886
"DF9F_141",6.94468165316521,"DF9F_141","DF9F HD-ID pre","Macaca mulatta","Whole Blood","total RNA","paired-end","Illumina HiSeq 4000","DF9F",18817,"HD-ID","2.90E+07","high","pre",42860,4.632,23,"not_protected","bcg_routecohort_processed.txt","DF9F_141_read1.fastq.gz","DF9F_141_read2.fastq.gz","M1",0
