"Gene.stable.ID","Gene.name"
"ENSMMUG00000065387","MT-ND4"
"ENSMMUG00000063555","MT-ND6"
"ENSMMUG00000050414","MT-ND6"
"ENSMMUG00000065353","MT-ND3"
"ENSMMUG00000065383","MT-ATP8"
"ENSMMUG00000061090","5S_rRNA"
"ENSMMUG00000058918","5S_rRNA"
"ENSMMUG00000063316","MT-ND6"
"ENSMMUG00000026325","5S_rRNA"
"ENSMMUG00000055704","BX072566.1"
"ENSMMUG00000065354","MT-ND5"
"ENSMMUG00000065382","MT-CYB"
"ENSMMUG00000041125","BX072566.1"
"ENSMMUG00000065359","MT-ND6"
"ENSMMUG00000051740","BX072566.1"
"ENSMMUG00000060182","5S_rRNA"
"ENSMMUG00000065372","MT-ND1"
"ENSMMUG00000065379","MT-ND4L"
"ENSMMUG00000065356","MT-ND2"
"ENSMMUG00000055711","5S_rRNA"
"ENSMMUG00000052610","AC240274.1"
"ENSMMUG00000062894","MT-ND6"
"ENSMMUG00000064113","5S_rRNA"
"ENSMMUG00000060150","5S_rRNA"
"ENSMMUG00000055039","5S_rRNA"
"ENSMMUG00000056709","MT-ND6"
"ENSMMUG00000065380","MT-CO2"
"ENSMMUG00000028699","MT-ND1"
"ENSMMUG00000065366","MT-CO3"
"ENSMMUG00000064689","BX072566.1"
"ENSMMUG00000025989","5S_rRNA"
"ENSMMUG00000065375","MT-ATP6"
"ENSMMUG00000059510","BX072566.1"
"ENSMMUG00000065358","MT-CO1"
"ENSMMUG00000053115","5S_rRNA"
"ENSMMUG00000028672","MT-ND6"
"ENSMMUG00000054230","U6"
"ENSMMUG00000060180","U6"
"ENSMMUG00000055824","U6"
"ENSMMUG00000059020","U6"
"ENSMMUG00000056236","U6"
"ENSMMUG00000059232","U6"
"ENSMMUG00000061755","U6"
"ENSMMUG00000055974","U6"
"ENSMMUG00000061113","U6"
"ENSMMUG00000059311","U6"
"ENSMMUG00000060071","U6"
"ENSMMUG00000023919","U6"
"ENSMMUG00000047496","AL592183.1"
"ENSMMUG00000060325","AC007325.4"
"ENSMMUG00000064670","AC007325.1"
"ENSMMUG00000064670","AC023491.2"
"ENSMMUG00000000560","AC007325.4"
"ENSMMUG00000041787","AC007325.2"
"ENSMMUG00000026747","U1"
"ENSMMUG00000035166","U2"
"ENSMMUG00000049815","RNA5-8SN4"
"ENSMMUG00000051702","AC136616.3"
"ENSMMUG00000025378","5_8S_rRNA"
"ENSMMUG00000055207","AC136616.2"
"ENSMMUG00000064733","AC233755.2"
"ENSMMUG00000061294","AC233755.2"
"ENSMMUG00000051725","AC136616.3"
"ENSMMUG00000022522","PAN3"
"ENSMMUG00000047391","SRXN1"
"ENSMMUG00000015728","LTN1"
"ENSMMUG00000041125","AC136352.2"
"ENSMMUG00000041125","POTED"
"ENSMMUG00000058871","MRPL40"
"ENSMMUG00000036561","SNORA70"
"ENSMMUG00000055974","RNU6-286P"
"ENSMMUG00000055974","RNU6-816P"
"ENSMMUG00000058348","AC171558.1"
"ENSMMUG00000008940","UBE2L5"
"ENSMMUG00000021476","BCL2L13"
"ENSMMUG00000007597","USPL1"
"ENSMMUG00000003020","USP16"
"ENSMMUG00000012602","GAB4"
"ENSMMUG00000036552","SNORD27"
"ENSMMUG00000038997","ZAR1L"
"ENSMMUG00000013713","B3GLCT"
"ENSMMUG00000044161","C20orf202"
"ENSMMUG00000064638","Y_RNA"
"ENSMMUG00000062061","CCT8L2"
"ENSMMUG00000030812","ZMYM2"
"ENSMMUG00000010647","FP565260.3"
"ENSMMUG00000054665","C1QTNF9B"
"ENSMMUG00000054665","C1QTNF9"
"ENSMMUG00000017052","STARD13"
"ENSMMUG00000009029","GTF3A"
"ENSMMUG00000041853","SRY"
"ENSMMUG00000017605","MRPL39"
"ENSMMUG00000014971","KRTAP13-2"
"ENSMMUG00000014971","KRTAP13-1"
"ENSMMUG00000001920","ZMYM5"
"ENSMMUG00000017286","C20orf96"
"ENSMMUG00000023295","GJB6"
"ENSMMUG00000004560","CRYL1"
"ENSMMUG00000051605","KRTAP15-1"
"ENSMMUG00000010755","CXADR"
"ENSMMUG00000003371","RFC3"
"ENSMMUG00000045991","USP9Y"
"ENSMMUG00000052070","CDX2"
"ENSMMUG00000019461","TEX26"
"ENSMMUG00000012599","NRSN2"
"ENSMMUG00000064962","TMPRSS15"
"ENSMMUG00000060859","DEFB129"
"ENSMMUG00000030454","RWDD2B"
"ENSMMUG00000013370","EEF1AKMT1"
"ENSMMUG00000012601","RBCK1"
"ENSMMUG00000061111","KRTAP13-2"
"ENSMMUG00000061111","KRTAP13-1"
"ENSMMUG00000007197","BRCA2"
"ENSMMUG00000017385","TSSK2"
"ENSMMUG00000009650","HIRA"
"ENSMMUG00000027069","MIR155"
"ENSMMUG00000058970","RAD21L1"
"ENSMMUG00000037043","RNU5A-4P"
"ENSMMUG00000041787","PRODH"
"ENSMMUG00000059020","RNU6-286P"
"ENSMMUG00000059020","RNU6-816P"
"ENSMMUG00000000560","DGCR6"
"ENSMMUG00000014140","PEX26"
"ENSMMUG00000014140","AC016027.6"
"ENSMMUG00000026363","RNU6-303P"
"ENSMMUG00000058531","PARP4"
"ENSMMUG00000058786","LNX2"
"ENSMMUG00000045463","C21orf91"
"ENSMMUG00000018420","NUP58"
"ENSMMUG00000053251","DEFB128"
"ENSMMUG00000051740","AC136352.2"
"ENSMMUG00000051740","POTED"
"ENSMMUG00000054249","KRTAP26-1"
"ENSMMUG00000020999","GGTLC3"
"ENSMMUG00000008727","GABPA"
"ENSMMUG00000063061","TPTE2"
"ENSMMUG00000063061","TPTE"
"ENSMMUG00000006942","MIPEP"
"ENSMMUG00000009030","MTIF3"
"ENSMMUG00000005432","CLTCL1"
"ENSMMUG00000023919","RNU6-286P"
"ENSMMUG00000023919","RNU6-816P"
"ENSMMUG00000026639","SNORA27"
"ENSMMUG00000040520","RN7SL741P"
"ENSMMUG00000002116","BTG3"
"ENSMMUG00000003898","RXFP2"
"ENSMMUG00000046378","ZFY"
"ENSMMUG00000058189","CU639417.1"
"ENSMMUG00000016138","URAD"
"ENSMMUG00000055735","KRTAP24-1"
"ENSMMUG00000004300","NCAM2"
"ENSMMUG00000013707","HSPH1"
"ENSMMUG00000006668","TUBA3C"
"ENSMMUG00000054230","RNU6-286P"
"ENSMMUG00000054230","RNU6-816P"
"ENSMMUG00000031121","SLC25A18"
"ENSMMUG00000013900","RNF6"
"ENSMMUG00000059605","KRTAP26-1"
"ENSMMUG00000028480","RNY3P4"
"ENSMMUG00000004507","GSX1"
"ENSMMUG00000034027","CU633980.1"
"ENSMMUG00000064307","U2AF1L5"
"ENSMMUG00000036563","AC000081.2"
"ENSMMUG00000017384","ESS2"
"ENSMMUG00000016560","SKA3"
"ENSMMUG00000038331","RPS4Y1"
"ENSMMUG00000013721","SLC46A3"
"ENSMMUG00000060180","RNU6-286P"
"ENSMMUG00000060180","RNU6-816P"
"ENSMMUG00000005572","ALOX5AP"
"ENSMMUG00000036308","RNU6-64P"
"ENSMMUG00000007200","N4BP2L2"
"ENSMMUG00000000270","ANGPT4"
"ENSMMUG00000018419","MTMR6"
"ENSMMUG00000062341","SHISA2"
"ENSMMUG00000059311","RNU6-286P"
"ENSMMUG00000059311","RNU6-816P"
"ENSMMUG00000026218","Y_RNA"
"ENSMMUG00000002288","GGTLC3"
"ENSMMUG00000020262","PSPC1"
"ENSMMUG00000008725","ATP5PF"
"ENSMMUG00000049815","RNA5-8SN2"
"ENSMMUG00000006731","CECR2"
"ENSMMUG00000041913","RN7SL843P"
"ENSMMUG00000031224","CSNK2A1"
"ENSMMUG00000014610","RNF17"
"ENSMMUG00000051752","RNU6-55P"
"ENSMMUG00000051752","RNU6-954P"
"ENSMMUG00000027837","RNU4-9P"
"ENSMMUG00000020988","GSC2"
"ENSMMUG00000050398","DEFB127"
"ENSMMUG00000057524","RNU4-45P"
"ENSMMUG00000028086","Y_RNA"
"ENSMMUG00000060618","RNU6-521P"
"ENSMMUG00000054533","RN7SL163P"
"ENSMMUG00000027098","MIRLET7C"
"ENSMMUG00000020799","BID"
"ENSMMUG00000026830","RNU1-98P"
"ENSMMUG00000064689","AC136352.2"
"ENSMMUG00000064689","POTED"
"ENSMMUG00000056205","MRPL57"
"ENSMMUG00000061208","MAP3K7CL"
"ENSMMUG00000036921","RNU6-772P"
"ENSMMUG00000021538","FLT1"
"ENSMMUG00000013574","TUBA8"
"ENSMMUG00000038935","ZCCHC3"
"ENSMMUG00000053391","RPL21"
"ENSMMUG00000056236","RNU6-286P"
"ENSMMUG00000056236","RNU6-816P"
"ENSMMUG00000005431","SLC25A1"
"ENSMMUG00000044016","RNU6-941P"
"ENSMMUG00000044156","SNORD36"
"ENSMMUG00000061034","N6AMT1"
"ENSMMUG00000004237","TNFRSF19"
"ENSMMUG00000018743","USP25"
"ENSMMUG00000048853","RNU6-113P"
"ENSMMUG00000061970","RNY1P1"
"ENSMMUG00000060819","GPR12"
"ENSMMUG00000004922","KATNAL1"
"ENSMMUG00000059232","RNU6-286P"
"ENSMMUG00000059232","RNU6-816P"
"ENSMMUG00000055704","AC136352.2"
"ENSMMUG00000055704","POTED"
"ENSMMUG00000061755","RNU6-286P"
"ENSMMUG00000061755","RNU6-816P"
"ENSMMUG00000038984","TSPY2"
"ENSMMUG00000038984","TSPY4"
"ENSMMUG00000038984","TSPY8"
"ENSMMUG00000038984","TSPY3"
"ENSMMUG00000038984","TSPY1"
"ENSMMUG00000038984","TSPY9P"
"ENSMMUG00000038984","TSPY10"
"ENSMMUG00000014611","CENPJ"
